hour,buyers_count,order_count,order_items_count,order_amount,comparison_value,change_rate
2026-03-31,30,34,107,2204150,3927070,-1722920
2026-03-30,56,57,192,3927070,2641398,1285672
2026-03-29,38,39,122,2641398,3192800,-551402
2026-03-28,41,45,144,3192800,6305411,-3112611
2026-03-27,82,83,296,6305411,5359033,946378
2026-03-26,75,76,238,5359033,3209837,2149196
2026-03-25,51,54,143,3209837,5964003,-2754166
2026-03-24,61,66,346,5964003,4068993,1895010
2026-03-23,66,67,203,4068993,2486566,1582427
2026-03-22,40,42,121,2486566,2911675,-425109
2026-03-21,43,44,131,2911675,2319408,592267
2026-03-20,48,51,120,2319408,2558520,-239112
2026-03-19,49,50,139,2558520,2831208,-272688
2026-03-18,51,54,142,2831208,4185896,-1354688
2026-03-17,67,70,201,4185896,3607840,578056
2026-03-16,61,62,170,3607840,1971238,1636602
2026-03-15,37,38,91,1971238,2135500,-164262
2026-03-14,33,35,102,2135500,3268740,-1133240
2026-03-13,62,65,142,3268740,3371261,-102521
2026-03-12,65,66,167,3371261,2665405,705856
2026-03-11,50,50,127,2665405,2931597,-266192
2026-03-10,49,49,136,2931597,2679340,252257
2026-03-09,44,45,140,2679340,2803915,-124575
2026-03-08,40,41,130,2803915,1580540,1223375
2026-03-07,25,26,81,1580540,4082222,-2501682
2026-03-06,55,55,184,4082222,3005698,1076524
2026-03-05,47,51,137,3005698,3681015,-675317
2026-03-04,54,55,166,3681015,3895504,-214489
2026-03-03,56,58,178,3895504,1910902,1984602
2026-03-02,33,33,78,1910902,2477400,-566498
2026-03-01,34,37,110,2477400,2310841,166559
2026-02-28,43,43,113,2310841,3456941,-1146100
2026-02-27,47,47,148,3456941,1974225,1482716
2026-02-26,37,37,103,1974225,4235910,-2261685
2026-02-25,61,62,197,4235910,3519490,716420
2026-02-24,55,56,176,3519490,5265661,-1746171
2026-02-23,82,83,252,5265661,19267270,-14001609
2026-02-22,287,294,1031,19267270,6755060,12512210
2026-02-21,92,96,346,6755060,8830329,-2075269
2026-02-20,121,124,439,8830329,9595170,-764841
2026-02-19,132,136,507,9595170,4950958,4644212
2026-02-18,71,71,258,4950958,2234480,2716478
2026-02-17,30,31,120,2234480,1529250,705230
2026-02-16,25,27,90,1529250,2393420,-864170
2026-02-15,36,36,131,2393420,3528860,-1135440
2026-02-14,57,58,188,3528860,10295570,-6766710
2026-02-13,163,166,528,10295570,4305610,5989960
2026-02-12,68,68,190,4305610,5220900,-915290
2026-02-11,78,79,243,5220900,7774390,-2553490
2026-02-10,112,113,405,7774390,7253460,520930
2026-02-09,105,111,379,7253460,6729410,524050
2026-02-08,92,95,337,6729410,8617790,-1888380
2026-02-07,112,118,494,8617790,8358025,259765
2026-02-06,128,138,439,8358025,4174945,4183080
2026-02-05,60,60,165,4174945,2943274,1231671
2026-02-04,50,50,115,2943274,2776510,166764
2026-02-03,41,41,119,2776510,5002904,-2226394
2026-02-02,67,69,211,5002904,3104920,1897984
2026-02-01,45,47,132,3104920,1657012,1447908
2026-01-31,31,31,68,1657012,2527161,-870149
2026-01-30,39,39,111,2527161,5179471,-2652310
2026-01-29,62,67,214,5179471,2965050,2214421
2026-01-28,39,40,128,2965050,3204130,-239080
2026-01-27,50,51,143,3204130,4204950,-1000820
2026-01-26,57,59,172,4204950,3028255,1176695
2026-01-25,52,52,129,3028255,2525700,502555
2026-01-24,37,40,106,2525700,4286904,-1761204
2026-01-23,57,58,171,4286904,4380100,-93196
2026-01-22,64,64,176,4380100,2697181,1682919
2026-01-21,50,50,118,2697181,3640530,-943349
2026-01-20,57,59,173,3640530,3979215,-338685
2026-01-19,51,52,171,3979215,1192700,2786515
2026-01-18,21,22,54,1192700,1484850,-292150
2026-01-17,24,25,70,1484850,2554900,-1070050
2026-01-16,37,37,101,2554900,3359933,-805033
2026-01-15,47,49,151,3359933,3318732,41201
2026-01-14,58,58,144,3318732,4287375,-968643
2026-01-13,63,66,185,4287375,3335000,952375
2026-01-12,58,58,143,3335000,2843880,491120
2026-01-11,52,52,111,2843880,5061540,-2217660
2026-01-10,64,67,220,5061540,3977776,1083764
2026-01-09,59,60,168,3977776,4175836,-198060
2026-01-08,68,69,186,4175836,4610530,-434694
2026-01-07,59,61,194,4610530,4614290,-3760
2026-01-06,71,72,200,4614290,4290584,323706
2026-01-05,69,73,175,4290584,4972309,-681725
2026-01-04,65,68,202,4972309,2734359,2237950
2026-01-03,38,38,130,2734359,3527655,-793296
2026-01-02,58,58,153,3527655,2677765,849890
2026-01-01,42,43,120,2677765,2669340,8425
